ClueID,DiagnosisMethod,ClueText,HiddenRank,ConfA,ConfB,ConfC,ConfD,ConfE,,,,,
c001,望,目周微暗、神氣稍顯不寧,2,20,5,5,0,0,,,,,
c002,望,眉宇緊張、眼神浮躁，形體略顯倦怠,4,25,5,5,5,0,,,,,
c003,聞,近身微帶燥氣，呼吸略急促,7,15,5,5,0,0,,,,,
c004,問,夜裡常覺心煩，醒後難再安定,0,25,5,5,0,0,,,,,
c005,問,白日精神乏力，偶感氣弱難振,0,15,0,15,5,0,,,,,
c006,望,動作拘束，眉間不時微蹙,2,0,5,5,0,25,,,,,
c007,望,面色略沉暗，神態帶有隱約的壓迫感,5,0,5,0,10,20,,,,,
c008,聞,身上微帶濁悶之氣，步伐略顯沉重,7,0,5,10,0,20,,,,,
c009,問,時有悶脹不舒之感，偶爾覺得情緒易受牽動,0,0,10,5,0,20,,,,,
c010,問,鈍痛時起時伏，久坐久站皆覺不適,0,0,0,10,5,25,,,,,
c011,望,面色少華，神采略顯黯淡,2,0,0,5,30,0,,,,,
c012,望,脣色偏淡，肌膚乾澀無潤,4,5,0,5,25,0,,,,,
c013,聞,近身似帶微弱濕濁之氣，氣息略顯沉滯,6,0,5,10,20,0,,,,,
c014,問,最近常覺精神不振，偶有氣短乏力之感,0,0,0,15,20,0,,,,,
c015,望,眉宇間帶有鬱結之色，似有未盡之氣難以舒發,5,5,30,0,0,5,,,,,
c016,聞,呼吸略急促，語氣帶著隱約的不耐與焦躁,7,5,20,5,0,0,,,,,
c017,問,不知為何常覺提不起勁，總想找點什麼讓精神振作,0,0,25,10,0,0,,,,,
c018,問,稍事勞動便氣促乏力，腿軟無勁；休眠倒是正常，只是精神難振,0,0,0,20,0,0,,,,,
c019,望,指甲色淡,5,0,0,20,0,0,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
